web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700779073-1046","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (Retro Pop Highway)","https://www.actionfigure411.com/transformers/studio-series/multi-packs/bumblebee-retro-pop-highway-3611.php","Transformers Studio Series Bumblebee (Retro Pop Highway)","Transformers Studio Series Bumblebee (Retro Pop Highway) 
Studio Series presents Vol. 2 of a sweet exclusive series. Packed with retro radness, this installment features a bodaciously Special Edition Bumblebee Gold VW Beetle figure and 2 dynamite dino-cassette figures, Zauru and Uriad (the evil twin of Dairu), remixed from an '80s Japan-only release.



Retro Pop Highway - Vol. 2 is a celebration of the Bumblebee movie and the awesomeness of turning up the tunes as you're cruisin' in your righteous ride. Especially if that ride is a VW Beetle with special edition deco that converts from robot mode in 22 steps.



2018 San Diego Comicon Exclusive (SDCC)","/transformers/images/thumbs/bumblebee-retro-pop-highway-3611.jpg","C$68.52","C$79.77","C$66.53"
"1700779075-1047","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (Retro Rock Garage)","https://www.actionfigure411.com/transformers/studio-series/multi-packs/bumblebee-retro-rock-garage-3610.php","Transformers Studio Series Bumblebee (Retro Rock Garage)","Transformers Studio Series Bumblebee (Retro Rock Garage) 
Transformers Studio Series presents Vol.1 of a totally awesome convention exclusive series. Packed with retro radness, this installment features a bodaciously Special Edition Bumblebee Gold Camaro figure and 2 dynamite dino-cassette figures, Dairu and Uruaz (the evil twin of Zauru), remixed from an '80s Japan-only release.



Retro Rock Garage - Vol. 1 is a celebration of the Bumblebee movie and the awesomeness of cranking up some tunes as you tune up your ride. Especially if that ride is a righteous '77 Camaro with special edition deco that converts from robot mode in 25 steps.



2018 San Diego Comicon Exclusive (SDCC)","/transformers/images/thumbs/bumblebee-retro-rock-garage-3610.jpg","C$68.52","C$133.62","C$109.65"
"1700779077-1048","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (Rebekah's Garage)","https://www.actionfigure411.com/transformers/studio-series/multi-packs/bumblebee-rebekahs-garage-3609.php","Transformers Studio Series Bumblebee (Rebekah's Garage)","Transformers Studio Series Bumblebee (Rebekah's Garage) 
This Transformers: Bumblebee Studio Series 15 Deluxe Class Bumblebee and Charlie figures brings the movie action from the Highway Freedom scene to new dimensions. The figure converts from robot to 77 Camaro mode in 23 steps. Turn the classic Bumblebee car into a racecar with 8 included accessories for customization. Remove the backdrop included in the pack to showcase the Bumblebee and Charlie figures in the Highway Freedom scene.



Includes Transformers: Bumblebee Studio Series 15 Deluxe Class Bumblebee and Charlie figures, 8 accessories, and instructions.","/transformers/images/thumbs/bumblebee-rebekahs-garage-3609.jpg","C$41.10","C$62.47","C$56.52"
"1700779080-1049","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Ultra Magnus (86-21)","https://www.actionfigure411.com/transformers/studio-series/commander-class/ultra-magnus-86-21-7178.php","Transformers Studio Series Ultra Magnus (86-21)","Transformers Studio Series Ultra Magnus (86-21) 
Ultra Magnus leads defensive measures against the Decepticons invading Autobot City.



Includes 4 blasters, 7 blast effects and a Matrix of Leadership accessory that can fit inside the figure’s chest. Accessories attach in both modes.","/transformers/images/thumbs/ultra-magnus-86-21-7178.jpg","C$123.31","C$141.57","C$134.73"
"1700779082-1050","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Megatron (Concept Art)","https://www.actionfigure411.com/transformers/studio-series/leader-class/megatron-concept-art-7488.php","Transformers Studio Series Megatron (Concept Art)","Transformers Studio Series Megatron (Concept Art) 
Megatron (Concept Art) Transformers toy is a Triple Changer, featuring 3 converting modes from robot to Cybertronian tank in 32 steps, then to Cybertronian jet in 39 steps.



Concept Art Megatron action figure is inspired by concept art of Megatron that was planned for, but never used in the Transformers: Bumblebee movie.



Includes fusion cannon accessory that attaches in both modes.","/transformers/images/thumbs/megatron-concept-art-7488.jpg","C$75.37","null","null"
"1700779084-1051","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Optimus Primal (Rise of the Beasts)","https://www.actionfigure411.com/transformers/studio-series/leader-class/optimus-primal-rise-of-the-beasts-6846.php","Transformers Studio Series Optimus Primal (Rise of the Beasts)","Transformers Studio Series Optimus Primal (Rise of the Beasts) 
Transformers: Rise of the Beasts! Optimus Primal and the Maximals guard a piece of the Transwarp Key from unwelcome visitors.



Includes 2 scimitars, 2 chain pieces, axe, and Transwarp Key accessories that attach in both modes. Chain pieces connect with the scimitar accessories","/transformers/images/thumbs/optimus-primal-rise-of-the-beasts-6846.jpg","C$75.37","C$105.30","C$103.86"
"1700779086-1052","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Scourge","https://www.actionfigure411.com/transformers/studio-series/leader-class/scourge-5677.php","Transformers Studio Series Scourge","Transformers Studio Series Scourge 
Scourge and the Terrorcons face off against the Autobots in a battle for the Transwarp Key. Transformers Studio Series toys are collectible action figures for 8 year old boys and girls that feature movie-inspired details and accessories. Convert the action figure from robot to truck mode in 31 steps and pose the Scourge toy in the included Attack at the Museum removable backdrop scene.","/transformers/images/thumbs/scourge-5677.jpg","C$75.37","C$88.53","C$95.24"
"1700779088-1053","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","The Fallen","https://www.actionfigure411.com/transformers/studio-series/leader-class/the-fallen-4835.php","Transformers Studio Series The Fallen","Transformers Studio Series The Fallen 
This Studio Series 91 Leader Class Transformers: Revenge of the Fallen-inspired The Fallen figure converts from robot to Cybertronian spacecraft mode in 17 steps. Remove backdrop to showcase The Fallen figure in the Pyramid Desert Battle scene. In the scene, The Fallen engages Optimus Prime in a fierce final battle, Prime against Prime. 


Includes: Figure, 2 accessories, removable backdrop, and instructions.","/transformers/images/thumbs/the-fallen-4835.jpg","C$76.74","C$57.67","C$51.60"
"1700779093-1054","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Coronation Starscream (86-12)","https://www.actionfigure411.com/transformers/studio-series/leader-class/coronation-starscream-86-12-3603.php","Transformers Studio Series Coronation Starscream (86-12)","Transformers Studio Series Coronation Starscream (86-12) 
This Studio Series 86-12 Leader Class The Transformers: The Movie-inspired Coronation Starscream figure converts from robot to jet mode in 29 steps. Comes with 2 null rays, 2 shoulder armor pieces, crown, cape, and throne accessories. Remove backdrop to showcase the Coronation Starscream figure in the All Hail Starscream scene. In the All Hail Starscream scene, Starscream holds a coronation asserting his rise as king of the Decepticons, until Galvatron disrupts the proceedings and ruins his big day.","/transformers/images/thumbs/coronation-starscream-86-12-3603.jpg","C$72.63","C$36.09","C$34.74"
"1700779095-1055","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Dinobot Sludge (86-15)","https://www.actionfigure411.com/transformers/studio-series/leader-class/dinobot-sludge-86-15-4066.php","Transformers Studio Series Dinobot Sludge (86-15)","Transformers Studio Series Dinobot Sludge (86-15) 
He's big! This Studio Series 86-15 Leader Class The Transformers: The Movie-inspired Dinobot Sludge figure converts from robot to brontosaurus mode in 31 steps. Comes with a blaster accessory. Remove backdrop to showcase the Dinobot Sludge figure in the Mockery of Justice scene. In the Mockery of Justice scene, Sludge breaks down the courtroom door and crashes the Quintesson trial. Pose the figure out and re-create this classic movie moment. Robot mode stands about 8 1/2-inches tall.","/transformers/images/thumbs/dinobot-sludge-86-15-4066.jpg","C$72.63","C$61.06","C$52.03"
"1700779097-1056","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Dinobot Slug & Daniel Witwicky (86-07)","https://www.actionfigure411.com/transformers/studio-series/leader-class/dinobot-slug-daniel-witwicky-86-07-3602.php","Transformers Studio Series Dinobot Slug & Daniel Witwicky (86-07)","Transformers Studio Series Dinobot Slug & Daniel Witwicky (86-07) 
Now, the Studio Series line is expanding to include the epic moments and characters from the classic The Transformers: The Movie, bringing fans a whole new series of screen-inspired figures to collect! (Each sold separately. Subject to availability.) This Studio Series 86-07 Leader Class The Transformers: The Movie-inspired Dinobot Slug figure converts from robot to triceratops mode in 32 steps. Includes non-converting Daniel Witwicky figure that can sit on Dinobot Slug figure in both modes. Remove backdrop to showcase Dinobot Slug and Daniel Witwicky in the Mockery of Justice scene. In the Mockery of Justice scene, the Dinobots storm the Quintesson Courtroom to save Hot Rod and Kup, as Slug stomps over a crushed Quintesson prosecutor","/transformers/images/thumbs/dinobot-slug-daniel-witwicky-86-07-3602.jpg","C$68.50","C$130.23","C$113.90"
"1700779099-1057","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Grimlock & Autobot Wheelie (86-06)","https://www.actionfigure411.com/transformers/studio-series/leader-class/grimlock-autobot-wheelie-86-06-3600.php","Transformers Studio Series Grimlock & Autobot Wheelie (86-06)","Transformers Studio Series Grimlock & Autobot Wheelie (86-06) 
This Studio Series 86-06 Leader Class The Transformers: The Movie-inspired Grimlock figure converts from robot to t-rex mode in 24 steps. Includes non-converting Autobot Wheelie figure that can sit on Grimlock figure in both modes. Remove backdrop to showcase Grimlock and Autobot Wheelie in the Mockery of Justice scene. In the Mockery of Justice scene Grimlock, Wheelie, and the Dinobots storm the Quintesson Courtroom to save Hot Rod and Kup from Quintesson judgement.","/transformers/images/thumbs/grimlock-autobot-wheelie-86-06-3600.jpg","C$68.52","C$277.08","C$243.60"
"1700779102-1058","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Grindor & Ravage","https://www.actionfigure411.com/transformers/studio-series/leader-class/grindor-ravage-3601.php","Transformers Studio Series Grindor & Ravage","Transformers Studio Series Grindor & Ravage 
This Studio Series 73 Leader Class Transformers: Revenge of the Fallen-inspired Grindor figure converts from robot to Sikorsky helicopter mode in 46 steps. In the Forest Fight scene, fighting Optimus Prime proves to be a headache for Grindor as the Autobot leader tears his head in two. Includes shoulder blade accessory and non-converting Ravage. Remove backdrop to showcase Grindor in the Forest Fight scene.","/transformers/images/thumbs/grindor-ravage-3601.jpg","C$68.52","C$93.53","C$82.78"
"1700779104-1059","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Overload","https://www.actionfigure411.com/transformers/studio-series/leader-class/overload-3599.php","Transformers Studio Series Overload","Transformers Studio Series Overload 
In the Pyramid Desert Battle scene from Transformers: Revenge of the Fallen, Overload and his Constructicon comrades rumble in from all directions and surround Leo Spitz, Seymour Simmons, Skids, and Mudflap. The humans look up in terror as the desert sand begins to quake and the Constructicons combine to form the brutal Devastator. During the merge, Overload latches on as the combiner’s lower torso. Once fully formed, Devastator unleashes mayhem and destruction across the desert.","/transformers/images/thumbs/overload-3599.jpg","C$68.52","C$219.90","C$189.60"
"1700779106-1060","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Shockwave","https://www.actionfigure411.com/transformers/studio-series/leader-class/shockwave-3598.php","Transformers Studio Series Shockwave (Leader Class)","Transformers Studio Series Shockwave (Leader Class) 
In the Battle of Chicago scene from Transformers: Dark of the Moon, Shockwave and his Driller launch an all-out assault on the city. Desperate to stop him, brave paratroopers risk everything in a last-ditch effort to end the destruction and turn the tide of battle.



Transformers: Dark of the Moon Shockwave figure fans can imagine bringing the movie action from the Battle of Chicago scene to new dimensions. The figure converts between robot and cannon modes in 17 steps and comes with 3 detailed weapon accessories.","/transformers/images/thumbs/shockwave-3598.jpg","C$61.66","C$203.53","C$216.54"
"1700779108-1061","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Scavenger","https://www.actionfigure411.com/transformers/studio-series/leader-class/scavenger-3597.php","Transformers Studio Series Scavenger","Transformers Studio Series Scavenger 
In the Pyramid Desert Battle scene from Transformers: Revenge of the Fallen, Scavenger and his Constructicon comrades rumble in from all directions and surround Leo Spitz, Seymour Simmons, Skids, and Mudflap. The humans look up in terror as the desert sand begins to quake and the Constructicons combine to form the brutal Devastator. During the merge, Scavenger latches on as the combiner’s upper torso. Once fully formed, Devastator unleashes mayhem and destruction across the desert.



The figure converts between robot and excavator modes in 25 steps.","/transformers/images/thumbs/scavenger-3597.jpg","C$61.66","C$72.60","C$66.62"
"1700779110-1062","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Megatron (As Seen in Parks)","https://www.actionfigure411.com/transformers/studio-series/leader-class/megatron-as-seen-in-parks-3608.php","Transformers Studio Series Megatron (As Seen in Parks)","Transformers Studio Series Megatron (As Seen in Parks) 
This Studio Series 48 Leader Class As Seen In parks features vivid, Universal Studios theme park-inspired deco and converts from robot to truck mode in 30 steps. Remove backdrop to showcase As Seen In Parks Megatron in the Universal Studios theme park. Includes 2 detailed accessories. Remove backdrop to showcase Megatron from his scenes in Transformers: The Ride 3D. Includes detailed accessories, including a blaster and removable chains accessories modeled after the ones Megatron uses in the ride.","/transformers/images/thumbs/megatron-as-seen-in-parks-3608.jpg","C$72.63","null","C$78.12"
